date,total_return,annual_return,max_drawdown,sharpe_ratio,trade_count
2024-07-02,0.0,,0.0,,0
2024-07-03,0.0,0.0,0.0,,0
2024-07-04,0.0,0.0,0.0,,0
2024-07-05,0.0,0.0,0.0,,0
2024-07-08,0.0,0.0,0.0,,0
2024-07-09,0.0,0.0,0.0,-1.2472275391826942e+17,0
2024-07-10,0.0,0.0,0.0,-1.2729462767269643e+17,0
2024-07-11,0.0,0.0,0.0,-6.455015770899705e+16,0
2024-07-12,0.0,0.0,0.0,,0
2024-07-15,0.0,0.0,0.0,,0
2024-07-16,0.0,0.0,0.0,-1.3228845759580403e+17,0
2024-07-17,0.0,0.0,0.0,-1.329549024060978e+17,0
2024-07-18,0.0,0.0,0.0,-1.3350773182764904e+17,0
2024-07-19,0.0,0.0,0.0,-6.6986864409024536e+16,0
2024-07-22,0.0,0.0,0.0,-6.718593428149793e+16,0
2024-07-23,0.0,0.0,0.0,-6.73579856113031e+16,0
2024-07-24,0.0,0.0,0.0,,0
2024-07-25,0.0,0.0,0.0,-1.3528082053946888e+17,0
2024-07-26,0.0,0.0,0.0,-1.3551547955457998e+17,0
2024-07-29,0.0,0.0,0.0,-6.786254686201488e+16,0
2024-07-30,0.0,0.0,0.0,-6.795673503622849e+16,0
2024-07-31,0.0,0.0,0.0,-4.536122704077933e+16,0
2024-08-01,0.0,0.0,0.0,-4.541274463494157e+16,0
2024-08-02,0.0,0.0,0.0,-3.4094798587522148e+16,0
2024-08-05,0.0,0.0,0.0,,0
2024-08-06,0.0,0.0,0.0,,0
2024-08-07,0.0,0.0,0.0,-1.3673636439259422e+17,0
2024-08-08,0.0,0.0,0.0,-1.3683761310279672e+17,0
2024-08-09,0.0,0.0,0.0,-6.8465781364039336e+16,0
2024-08-12,0.0,0.0,0.0,-6.850948758066043e+16,0
2024-08-13,0.0,0.0,0.0,-6.855025490802945e+16,0
2024-08-14,0.0,0.0,0.0,-4.572558009908098e+16,0
2024-08-15,0.0,0.0,0.0,,0
2024-08-16,0.0,0.0,0.0,-1.3731523275078645e+17,0
2024-08-19,0.0,0.0,0.0,-1.3737832268416384e+17,0
2024-08-20,0.0,0.0,0.0,-6.8718890476277176e+16,0
2024-08-21,0.0,0.0,0.0,-6.874695618725994e+16,0
2024-08-22,0.0,0.0,0.0,-4.5848996194259736e+16,0
2024-08-23,0.0,0.0,0.0,-4.586575080698571e+16,0
2024-08-26,0.0,0.0,0.0,-3.4411230414831256e+16,0
2024-08-27,0.0,0.0,0.0,-1.3769019214950126e+17,0
2024-08-28,0.0,0.0,0.0,-1.3773324051452042e+17,0
2024-08-29,0.0,0.0,0.0,-6.888711322609864e+16,0
2024-08-30,0.0,0.0,0.0,-6.890664735756348e+16,0
2024-09-02,0.0,0.0,0.0,-4.59501922730243e+16,0
2024-09-03,0.0,0.0,0.0,-4.596206417408095e+16,0
2024-09-04,0.0,0.0,0.0,-4.597341703683878e+16,0
2024-09-05,0.0,0.0,0.0,-3.4488213129421828e+16,0
2024-09-06,0.0,0.0,0.0,-1.3798408830491376e+17,0
2024-09-09,0.0,0.0,0.0,-6.900702125979763e+16,0
2024-09-10,0.0,0.0,0.0,-6.902139622532379e+16,0
2024-09-11,0.0,0.0,0.0,-6.9035204647233544e+16,0
2024-09-12,0.0,0.0,0.0,-4.603231958122276e+16,0
2024-09-13,0.0,0.0,0.0,-4.604083383628146e+16,0
2024-09-18,0.0,0.0,0.0,-4.604903126069189e+16,0
2024-09-19,0.0,0.0,0.0,-3.4542696912408456e+16,0
2024-09-20,0.0,0.0,0.0,-6.909681573013175e+16,0
2024-09-23,0.0,0.0,0.0,-6.910783507726027e+16,0
2024-09-24,0.0,0.0,0.0,-6.911847277994428e+16,0
2024-09-25,0.0,0.0,0.0,-4.608583221858391e+16,0
2024-09-26,0.0,0.0,0.0,-4.609245327058541e+16,0
2024-09-27,0.0,0.0,0.0,-4.609885633420879e+16,0
2024-09-30,0.0,0.0,0.0,-4.610505200070196e+16,0
2024-10-08,0.0,0.0,0.0,-3.4583287639588044e+16,0
2024-10-09,0.0,0.0,0.0,-6.917529027641084e+16,0
2024-10-10,0.0,0.0,0.0,-6.918373607221503e+16,0
2024-10-11,0.0,0.0,0.0,-4.612794996685197e+16,0
2024-10-14,0.0,0.0,0.0,-4.613324563875586e+16,0
2024-10-15,0.0,0.0,0.0,-4.613838497433006e+16,0
2024-10-16,0.0,0.0,0.0,-4.614337479589598e+16,0
2024-10-17,0.0,0.0,0.0,-3.4611166150878436e+16,0
2024-10-18,0.0,0.0,0.0,-3.461469844319267e+16,0
2024-10-21,0.0,0.0,0.0,-6.9236264541467576e+16,0
2024-10-22,0.0,0.0,0.0,-6.924294338820491e+16,0
2024-10-23,0.0,0.0,0.0,-4.6166294071533576e+16,0
2024-10-24,0.0,0.0,0.0,-4.617050997895038e+16,0
2024-10-25,0.0,0.0,0.0,-4.617461457156898e+16,0
2024-10-28,0.0,0.0,0.0,-4.617861220064634e+16,0
2024-10-29,0.0,0.0,0.0,-3.463688024517645e+16,0
2024-10-30,0.0,0.0,0.0,-3.4639727151049436e+16,0
2024-10-31,0.0,0.0,0.0,-6.928500531803678e+16,0
2024-11-01,0.0,0.0,0.0,-4.619361256232202e+16,0
2024-11-04,0.0,0.0,0.0,-4.619713328276938e+16,0
2024-11-05,0.0,0.0,0.0,-4.6200568907902056e+16,0
2024-11-06,0.0,0.0,0.0,-4.620392248602195e+16,0
2024-11-07,0.0,0.0,0.0,-4.620719692155181e+16,0
2024-11-08,0.0,0.0,0.0,-3.4657796237568864e+16,0
2024-11-11,0.0,0.0,0.0,-3.4660139484671876e+16,0
2024-11-12,0.0,0.0,0.0,-4.621657243081366e+16,0
2024-11-13,0.0,0.0,0.0,-4.6219556744408024e+16,0
2024-11-14,0.0,0.0,0.0,-4.622247455361799e+16,0
2024-11-15,0.0,0.0,0.0,-4.622532805700396e+16,0
2024-11-18,0.0,0.0,0.0,-4.622811935727262e+16,0
2024-11-19,0.0,0.0,0.0,-4.623085046644449e+16,0
2024-11-20,0.0,0.0,0.0,-3.467514248301805e+16,0
2024-11-21,0.0,0.0,0.0,-3.467710480114774e+16,0
2024-11-22,0.0,0.0,0.0,-4.623870150674333e+16,0
2024-11-25,0.0,0.0,0.0,-4.624121032102079e+16,0
2024-11-26,0.0,0.0,0.0,-4.624366780303677e+16,0
2024-11-27,0.0,0.0,0.0,-4.624607551229324e+16,0
2024-11-28,0.0,0.0,0.0,-4.624843494575373e+16,0
2024-11-29,0.0,0.0,0.0,-3.4688060655710336e+16,0
2024-12-02,0.0,0.0,0.0,-3.468976100916621e+16,0
2024-12-03,0.0,0.0,0.0,-3.4691428265121276e+16,0
2024-12-04,0.0,0.0,0.0,-4.625741784084588e+16,0
2024-12-05,0.0,0.0,0.0,-4.625955636828933e+16,0
2024-12-06,0.0,0.0,0.0,-4.626165445008138e+16,0
2024-12-09,0.0,0.0,0.0,-4.626371322289342e+16,0
2024-12-10,0.0,0.0,0.0,-4.626573378119906e+16,0
2024-12-11,0.0,0.0,0.0,-3.470078788441072e+16,0
2024-12-12,0.0,0.0,0.0,-3.470224832454876e+16,0
2024-12-13,0.0,0.0,0.0,-3.4703682390641264e+16,0
2024-12-16,0.0,0.0,0.0,-4.6273454387640984e+16,0
2024-12-17,0.0,0.0,0.0,-4.627529894365342e+16,0
2024-12-18,0.0,0.0,0.0,-4.627711106743551e+16,0
2024-12-19,0.0,0.0,0.0,-4.627889160690511e+16,0
2024-12-20,0.0,0.0,0.0,-4.628064138067767e+16,0
2024-12-23,0.0,0.0,0.0,-3.4711770884490904e+16,0
2024-12-24,0.0,0.0,0.0,-3.4713038824910464e+16,0
2024-12-25,0.0,0.0,0.0,-3.4714285410256416e+16,0
2024-12-26,0.0,0.0,0.0,-3.4714285410256416e+16,0
2024-12-27,0.0,0.0,0.0,-3.4714285410256416e+16,0
2024-12-30,0.0,0.0,0.0,-3.4714285410256416e+16,0
2024-12-31,0.0,0.0,0.0,-3.4714285410256416e+16,0
2024-12-31,0.0,0.0,0.0,-4.6292091519212024e+16,0
